# WISE photometry of the Extended CALIFA sample 
# W_V=in Vega mags and W_AB=in AB mags
# Galaxy_Name   W1_V    W1_V_e    W2_V   W2_V_e     W3_V  W3_V_e     W4_V  W4_V_e   W1_AB  W1_AB_e   W2_AB  W2_AB_e   W3_AB  W3_AB_e   W4_AB  W4_AB_e
    CALIFA145   10.974  15.750   10.924  15.229    8.945  13.431    7.886  10.448   13.657  18.433   14.243  18.548   14.187  18.673   14.490  17.052
    CALIFA146    9.898  15.206    9.885  14.703    7.078  12.501    5.245   9.133   12.581  17.889   13.204  18.022   12.320  17.743   11.849  15.737
    CALIFA147    9.271  14.901    9.132  14.334    5.427  11.695    3.482   8.255   11.954  17.584   12.451  17.653   10.669  16.937   10.086  14.859
    CALIFA148   10.291  15.409   10.130  14.832    6.675  12.312    4.969   8.998   12.974  18.092   13.449  18.151   11.917  17.554   11.573  15.602
    CALIFA149    9.235  14.880    9.163  14.346    5.866  11.907    4.257   8.641   11.918  17.563   12.482  17.665   11.108  17.149   10.861  15.245
    CALIFA150   12.327  16.410   12.216  15.846    9.333  13.536    7.531  10.257   15.010  19.093   15.535  19.165   14.575  18.778   14.135  16.861
    CALIFA151    9.229  14.878    8.935  14.233    5.656  11.784    3.507   8.266   11.912  17.561   12.254  17.552   10.898  17.026   10.111  14.870
    CALIFA152   10.853  15.685   10.823  15.167    7.820  12.841    5.951   9.480   13.536  18.368   14.142  18.486   13.062  18.083   12.555  16.084
    CALIFA153   10.700  15.612   10.518  15.023    7.117  12.522    5.508   9.265   13.383  18.295   13.837  18.342   12.359  17.764   12.112  15.869
    CALIFA154    8.812  14.668    7.940  13.738    4.967  11.458    2.588   7.807   11.495  17.351   11.259  17.057   10.209  16.700    9.192  14.411
    CALIFA155    8.810  14.667    8.297  13.911    5.457  11.703    3.616   8.321   11.493  17.350   11.616  17.230   10.699  16.945   10.220  14.925
    CALIFA156    9.545  15.031    9.583  14.544    7.196  12.482    5.769   9.381   12.228  17.714   12.902  17.863   12.438  17.724   12.373  15.985
    CALIFA157   10.090  15.308    9.949  14.735    6.589  12.246    4.500   8.759   12.773  17.991   13.268  18.054   11.831  17.488   11.104  15.363
    CALIFA158   10.979  15.740   11.020  15.244    8.143  12.896    6.459   9.714   13.662  18.423   14.339  18.563   13.385  18.138   13.063  16.318
    CALIFA159   10.320  15.423   10.048  14.789    6.228  12.088    4.462   8.744   13.003  18.106   13.367  18.108   11.470  17.330   11.066  15.348
    CALIFA160    9.447  14.989    9.484  14.510    8.837  13.325    7.581  10.276   12.130  17.672   12.803  17.829   14.079  18.567   14.185  16.880
    CALIFA161   11.247  15.872   11.164  15.317    7.832  12.844    5.305   9.160   13.930  18.555   14.483  18.636   13.074  18.086   11.909  15.764
    CALIFA162    9.099  14.814    9.157  14.344    8.255  13.038    6.809   9.890   11.782  17.497   12.476  17.663   13.497  18.280   13.413  16.494
    CALIFA163   10.114  15.318   10.121  14.818    8.087  12.913    6.719   9.843   12.797  18.001   13.440  18.137   13.329  18.155   13.323  16.447
    CALIFA164    9.622  15.073    9.597  14.562    6.799  12.355    5.388   9.202   12.305  17.756   12.916  17.881   12.041  17.597   11.992  15.806
    CALIFA165    9.303  14.914    9.162  14.343    5.324  11.636    3.552   8.289   11.986  17.597   12.481  17.662   10.566  16.878   10.156  14.893
    CALIFA166   11.368  15.941   11.416  15.468    9.017  13.413    7.182  10.092   14.052  18.624   14.735  18.787   14.259  18.655   13.786  16.696
    CALIFA167    9.430  14.977    8.921  14.228    5.360  11.660    2.867   7.948   12.113  17.660   12.240  17.547   10.602  16.902    9.471  14.552
    CALIFA168    9.986  15.258    9.977  14.755    8.210  13.031    6.823   9.912   12.669  17.941   13.296  18.074   13.452  18.273   13.427  16.516
    CALIFA169   10.496  15.510   10.399  14.961    7.405  12.642    5.622   9.320   13.179  18.193   13.718  18.280   12.647  17.884   12.226  15.924
    CALIFA170    8.772  14.643    8.791  14.159    7.560  12.694    6.441   9.709   11.455  17.326   12.110  17.478   12.802  17.936   13.045  16.313
    CALIFA171    8.645  14.582    8.716  14.121    8.327  12.962    7.249  10.069   11.328  17.265   12.035  17.440   13.569  18.204   13.853  16.673
    CALIFA172   12.251  16.367   12.117  15.799    9.784  13.718    7.485  10.238   14.934  19.050   15.436  19.118   15.026  18.960   14.089  16.842
    CALIFA173    9.982  15.251   10.037  14.772   10.100  13.646    9.794  11.170   12.665  17.934   13.356  18.091   15.342  18.888   16.398  17.774
    CALIFA174    9.904  15.206    9.903  14.710    7.513  12.657    5.891   9.437   12.587  17.889   13.222  18.029   12.755  17.899   12.495  16.041
    CALIFA175   11.468  15.986   11.345  15.424    8.104  12.994    6.515   9.763   14.151  18.669   14.664  18.743   13.346  18.236   13.119  16.367
    CALIFA176   10.253  15.390   10.267  14.897    7.429  12.672    5.421   9.222   12.936  18.073   13.586  18.216   12.671  17.914   12.025  15.826
    CALIFA177    9.198  14.862    9.223  14.376    8.074  12.723    6.638   9.769   11.881  17.545   12.542  17.695   13.316  17.965   13.242  16.373
    CALIFA178   10.697  15.599   10.685  15.093    7.864  12.847    6.611   9.801   13.380  18.282   14.004  18.412   13.106  18.089   13.215  16.405
    CALIFA179   10.574  15.551   10.485  15.005    6.969  12.448    5.226   9.124   13.257  18.234   13.804  18.324   12.211  17.690   11.830  15.728
    CALIFA180   10.607  15.563   10.496  15.009    7.393  12.614    5.917   9.462   13.290  18.246   13.815  18.328   12.635  17.856   12.521  16.066
    CALIFA181   10.461  15.490   10.394  14.957    7.060  12.482    5.306   9.163   13.144  18.173   13.713  18.276   12.302  17.724   11.910  15.767
